question	real_ans	conf_ans
Accomplish	Achieve	Accept, Accompany
Depart	Leave	Defeat, Divide
Solar	Sun	Moon, Stars
Enquire	Ask	Tell, Opinion
Honest	Sincere	Kind, Helpfu;
Unfortunate	Unlucky	Unwillling, Unnerved
Worth	Value	With, Earth
Writer	Author	Record, Auteur
Desire	Want	Need, Demand
Write	Document	Ink, Notes
Ancient	Old	Age, King
Chance	Opportunity	Test, Exam
Rough	Coarse	Course, Source
Quiet	Peaceful	Almost, Quite
Reject	Refuse	Eject, Old
Rest	Remaining	Faulty, Remind
Reserved	Shy	Quota, Express
Vast	Gather	Valauble, Open
Accumulate	Collect	Accomplish, Accompany
Tidy	Neat	Tiny, Small
Thought	Opinion	Conclusion, Inference
Chuckle	Laugh	Smile, Grin
Junk	Garbage	Food, Gym
Phrase	Expression	Paste, Pharaoh
Select	Best	Rest, Within
Mouth Watering	Delicious	Gross, Salivate
Fascinating	Interesting	Fashion, Ruminating
Blunder	Mistake	Bear, Thunder
Mix	Blend	Mynx, Blind
Pharaoh 	King	Phrase, Fat